count_all,mentions_china,full_name,gender,party,type,birthday,state,district,generation
143,75,Tom Cotton,M,Republican,sen,1977-05-13,AR,,Gen X
145,60,Marsha Blackburn,F,Republican,sen,1952-06-06,TN,,Boomers
165,56,Mark E. Green,M,Republican,rep,1964-11-08,TN,7.0,Boomers
145,55,Jim Banks,M,Republican,rep,1979-07-16,IN,3.0,Gen X
139,47,Michael Waltz,M,Republican,rep,1974-01-31,FL,6.0,Gen X
156,41,Ted Cruz,M,Republican,sen,1970-12-22,TX,,Gen X
94,32,Ted S. Yoho,M,Republican,rep,1955-04-13,FL,3.0,Boomers
177,30,Will Hurd,M,Republican,rep,1977-08-19,TX,23.0,Gen X
147,29,Rick Scott,M,Republican,sen,1952-12-01,FL,,Boomers
132,27,Josh Hawley,M,Republican,sen,1979-12-31,MO,,Gen X
141,26,Guy Reschenthaler,M,Republican,rep,1983-04-17,PA,14.0,Millennial
129,22,Matt Gaetz,M,Republican,rep,1982-05-07,FL,1.0,Millennial
144,20,Judy Chu,F,Democrat,rep,1953-07-07,CA,27.0,Boomers
132,18,Mitt Romney,M,Republican,sen,1947-03-12,UT,,Boomers
64,18,Scott DesJarlais,M,Republican,rep,1964-02-21,TN,4.0,Boomers
180,17,Todd Young,M,Republican,sen,1972-08-24,IN,,Gen X
198,16,Denver Riggleman,M,Republican,rep,1970-03-01,VA,5.0,Gen X
128,16,Vicky Hartzler,F,Republican,rep,1960-10-13,MO,4.0,Boomers
93,15,Cathy McMorris Rodgers,F,Republican,rep,1969-05-22,WA,5.0,Gen X
145,14,Marco Rubio,M,Republican,sen,1971-05-28,FL,,Gen X
108,14,"Eric A. ""Rick"" Crawford",M,Republican,rep,1966-01-22,AR,1.0,Gen X
155,13,Dan Crenshaw,M,Republican,rep,1984-03-14,TX,2.0,Millennial
95,13,Jody B. Hice,M,Republican,rep,1960-04-22,GA,10.0,Boomers
150,13,Ted Budd,M,Republican,rep,1971-10-21,NC,13.0,Gen X
148,13,Brian Babin,M,Republican,rep,1948-03-23,TX,36.0,Boomers
146,13,Fred Keller,M,Republican,rep,1965-10-23,PA,12.0,Gen X
47,12,Kevin McCarthy,M,Republican,rep,1965-01-26,CA,23.0,Gen X
141,12,"Charles J. ""Chuck"" Fleischmann",M,Republican,rep,1962-10-11,TN,3.0,Boomers
199,11,Jeff Fortenberry,M,Republican,rep,1960-12-27,NE,1.0,Boomers
168,11,Steve Daines,M,Republican,sen,1962-08-20,MT,,Boomers
169,11,J. French Hill,M,Republican,rep,1956-12-05,AR,2.0,Boomers
144,11,Mike Gallagher,M,Republican,rep,1984-03-03,WI,8.0,Millennial
115,10,Adam Kinzinger,M,Republican,rep,1978-02-27,IL,16.0,Gen X
161,10,Doug Collins,M,Republican,rep,1966-08-16,GA,9.0,Gen X
150,9,Scott Perry,M,Republican,rep,1962-05-27,PA,10.0,Boomers
119,9,Ken Buck,M,Republican,rep,1959-02-16,CO,4.0,Boomers
184,9,Jason Smith,M,Republican,rep,1980-06-16,MO,8.0,Millennial
159,9,Ron Wright,M,Republican,rep,1953-04-08,TX,6.0,Boomers
115,9,Chip Roy,M,Republican,rep,1972-08-07,TX,21.0,Gen X
188,9,Liz Cheney,F,Republican,rep,1966-07-28,WY,0.0,Gen X
125,8,Mark Walker,M,Republican,rep,1969-05-20,NC,6.0,Gen X
148,8,Cory Gardner,M,Republican,sen,1974-08-22,CO,,Gen X
123,8,K. Michael Conaway,M,Republican,rep,1948-06-11,TX,11.0,Boomers
165,8,Vern Buchanan,M,Republican,rep,1951-05-08,FL,16.0,Boomers
155,8,W. Gregory Steube,M,Republican,rep,1978-05-19,FL,17.0,Gen X
191,8,John Kennedy,M,Republican,sen,1951-11-21,LA,,Boomers
128,8,Doug Lamborn,M,Republican,rep,1954-05-24,CO,5.0,Boomers
101,7,Jodey C. Arrington,M,Republican,rep,1972-03-09,TX,19.0,Gen X
171,7,Christopher H. Smith,M,Republican,rep,1953-03-04,NJ,4.0,Boomers
168,7,Martha McSally,F,Republican,sen,1966-03-22,AZ,,Gen X
181,7,Michael C. Burgess,M,Republican,rep,1950-12-23,TX,26.0,Boomers
146,6,"Earl L. ""Buddy"" Carter",M,Republican,rep,1957-09-06,GA,1.0,Boomers
184,6,Joni Ernst,F,Republican,sen,1970-07-01,IA,,Gen X
147,6,John Thune,M,Republican,sen,1961-01-07,SD,,Boomers
149,6,Kelly Loeffler,F,Republican,sen,1970-11-27,GA,,Gen X
124,6,Andy Barr,M,Republican,rep,1973-07-24,KY,6.0,Gen X
169,6,Steve King,M,Republican,rep,1949-05-28,IA,4.0,Boomers
179,6,John Joyce,M,Republican,rep,1957-02-08,PA,13.0,Boomers
133,5,A. Drew Ferguson IV,M,Republican,rep,1966-11-15,GA,3.0,Gen X
132,5,James P. McGovern,M,Democrat,rep,1959-11-20,MA,2.0,Boomers
100,5,Michael Cloud,M,Republican,rep,1975-05-13,TX,27.0,Gen X
80,5,Mike Kelly,M,Republican,rep,1948-05-10,PA,16.0,Boomers
149,5,Thom Tillis,M,Republican,sen,1960-08-30,NC,,Boomers
90,5,Brian J. Mast,M,Republican,rep,1980-07-10,FL,18.0,Millennial
76,5,Thomas Massie,M,Republican,rep,1971-01-13,KY,4.0,Gen X
131,5,Patrick J. Toomey,M,Republican,sen,1961-11-17,PA,,Boomers
196,5,Chuck Grassley,M,Republican,sen,1933-09-17,IA,,Silent
187,5,Adrian Smith,M,Republican,rep,1970-12-19,NE,3.0,Gen X
119,5,Mike Johnson,M,Republican,rep,1972-01-30,LA,4.0,Gen X
175,5,"Bill Pascrell, Jr.",M,Democrat,rep,1937-01-25,NJ,9.0,Silent
84,4,Steve Scalise,M,Republican,rep,1965-10-06,LA,1.0,Gen X
162,4,Patrick T. McHenry,M,Republican,rep,1975-10-22,NC,10.0,Gen X
157,4,Ralph Norman,M,Republican,rep,1953-06-20,SC,5.0,Boomers
109,4,Mo Brooks,M,Republican,rep,1954-04-29,AL,5.0,Boomers
191,4,Rob Portman,M,Republican,sen,1955-12-19,OH,,Boomers
119,4,Chris Stewart,M,Republican,rep,1960-07-15,UT,2.0,Boomers
113,4,Ralph Lee Abraham,M,Republican,rep,1954-09-16,LA,5.0,Boomers
132,4,Austin Scott,M,Republican,rep,1969-12-10,GA,8.0,Gen X
171,4,Daniel Meuser,M,Republican,rep,1964-02-10,PA,9.0,Boomers
165,4,Jeanne Shaheen,F,Democrat,sen,1947-01-28,NH,,Boomers
51,4,Virginia Foxx,F,Republican,rep,1943-06-29,NC,5.0,Silent
147,4,Francis Rooney,M,Republican,rep,1953-12-04,FL,19.0,Boomers
125,4,Tom Graves,M,Republican,rep,1970-02-03,GA,14.0,Gen X
195,4,Adam B. Schiff,M,Democrat,rep,1960-06-22,CA,28.0,Boomers
182,4,Peter T. King,M,Republican,rep,1944-04-05,NY,2.0,Boomers
78,4,Scott R. Tipton,M,Republican,rep,1956-11-09,CO,3.0,Boomers
74,3,Bill Huizenga,M,Republican,rep,1969-01-31,MI,2.0,Gen X
165,3,Peter J. Visclosky,M,Democrat,rep,1949-08-13,IN,1.0,Boomers
90,3,Dan Sullivan,M,Republican,sen,1964-11-13,AK,,Boomers
125,3,Don Bacon,M,Republican,rep,1963-08-16,NE,2.0,Boomers
128,3,Doug LaMalfa,M,Republican,rep,1960-07-02,CA,1.0,Boomers
78,3,John Cornyn,M,Republican,sen,1952-02-02,TX,,Boomers
121,3,Clay Higgins,M,Republican,rep,1961-08-24,LA,3.0,Boomers
95,3,Paul A. Gosar,M,Republican,rep,1958-11-22,AZ,4.0,Boomers
76,3,Ross Spano,M,Republican,rep,1966-07-16,FL,15.0,Gen X
149,3,Anthony Gonzalez,M,Republican,rep,1984-09-19,OH,16.0,Millennial
154,3,Tom Rice,M,Republican,rep,1957-08-04,SC,7.0,Boomers
112,3,Bill Johnson,M,Republican,rep,1954-11-10,OH,6.0,Boomers
105,3,Jeff Merkley,M,Democrat,sen,1956-10-24,OR,,Boomers
97,3,Elissa Slotkin,F,Democrat,rep,1976-07-10,MI,8.0,Gen X
99,3,Jeff Duncan,M,Republican,rep,1966-01-07,SC,3.0,Gen X
127,3,Kay Granger,F,Republican,rep,1943-01-18,TX,12.0,Silent
171,3,Glenn Grothman,M,Republican,rep,1955-07-03,WI,6.0,Boomers
113,3,Warren Davidson,M,Republican,rep,1970-03-01,OH,8.0,Gen X
155,3,Frank D. Lucas,M,Republican,rep,1960-01-06,OK,3.0,Boomers
140,3,Greg Pence,M,Republican,rep,1956-11-14,IN,6.0,Boomers
127,3,William R. Timmons IV,M,Republican,rep,1984-04-30,SC,4.0,Millennial
78,3,Rick Larsen,M,Democrat,rep,1965-06-15,WA,2.0,Gen X
144,2,Edward J. Markey,M,Democrat,sen,1946-07-11,MA,,Boomers
