full_name,pct_true,count_all,gender,party,type,birthday,state,district,generation
Steve Scalise,0.48,84,M,Republican,rep,1965-10-06,LA,1,Gen X
Maxine Waters,0.46,132,F,Democrat,rep,1938-08-15,CA,43,Silent
Jody B. Hice,0.43,95,M,Republican,rep,1960-04-22,GA,10,Boomers
Adam B. Schiff,0.39,195,M,Democrat,rep,1960-06-22,CA,28,Boomers
Mark E. Green,0.38,165,M,Republican,rep,1964-11-08,TN,7,Boomers
Marsha Blackburn,0.37,145,F,Republican,sen,1952-06-06,TN,,Boomers
Kevin McCarthy,0.36,47,M,Republican,rep,1965-01-26,CA,23,Gen X
Mazie K. Hirono,0.36,150,F,Democrat,sen,1947-11-03,HI,,Boomers
Jim Banks,0.35,145,M,Republican,rep,1979-07-16,IN,3,Gen X
John Ratcliffe,0.35,99,M,Republican,rep,1965-10-20,TX,4,Gen X
Billy Long,0.35,34,M,Republican,rep,1955-08-11,MO,7,Boomers
Scott DesJarlais,0.34,64,M,Republican,rep,1964-02-21,TN,4,Boomers
Doug Lamborn,0.34,128,M,Republican,rep,1954-05-24,CO,5,Boomers
Doug LaMalfa,0.31,128,M,Republican,rep,1960-07-02,CA,1,Boomers
Tom Cotton,0.3,143,M,Republican,sen,1977-05-13,AR,,Gen X
Matt Gaetz,0.29,129,M,Republican,rep,1982-05-07,FL,1,Millennial
Charles E. Schumer,0.29,190,M,Democrat,sen,1950-11-23,NY,,Boomers
Guy Reschenthaler,0.28,141,M,Republican,rep,1983-04-17,PA,14,Millennial
Dan Crenshaw,0.27,155,M,Republican,rep,1984-03-14,TX,2,Millennial
Jason Smith,0.27,184,M,Republican,rep,1980-06-16,MO,8,Millennial
Hakeem S. Jeffries,0.27,176,M,Democrat,rep,1970-08-04,NY,8,Gen X
Jim Jordan,0.27,135,M,Republican,rep,1964-02-17,OH,4,Boomers
Kevin Hern,0.27,93,M,Republican,rep,1961-12-04,OK,1,Boomers
Richard Blumenthal,0.27,134,M,Democrat,sen,1946-02-13,CT,,Boomers
Judy Chu,0.26,144,F,Democrat,rep,1953-07-07,CA,27,Boomers
Josh Hawley,0.25,132,M,Republican,sen,1979-12-31,MO,,Gen X
Will Hurd,0.25,177,M,Republican,rep,1977-08-19,TX,23,Gen X
"Donald S. Beyer, Jr.",0.25,65,M,Democrat,rep,1950-06-20,VA,8,Boomers
Vicky Hartzler,0.24,128,F,Republican,rep,1960-10-13,MO,4,Boomers
Rick Scott,0.24,147,M,Republican,sen,1952-12-01,FL,,Boomers
Elizabeth Warren,0.24,124,F,Democrat,sen,1949-06-22,MA,,Boomers
Mike Kelly,0.23,80,M,Republican,rep,1948-05-10,PA,16,Boomers
Scott Perry,0.22,150,M,Republican,rep,1962-05-27,PA,10,Boomers
Brian Babin,0.22,148,M,Republican,rep,1948-03-23,TX,36,Boomers
Virginia Foxx,0.22,51,F,Republican,rep,1943-06-29,NC,5,Silent
"Bill Pascrell, Jr.",0.22,175,M,Democrat,rep,1937-01-25,NJ,9,Silent
Ted Cruz,0.21,156,M,Republican,sen,1970-12-22,TX,,Gen X
Bill Flores,0.21,24,M,Republican,rep,1954-02-25,TX,17,Boomers
Thomas Massie,0.2,76,M,Republican,rep,1971-01-13,KY,4,Gen X
Clay Higgins,0.2,121,M,Republican,rep,1961-08-24,LA,3,Boomers
Bob Gibbs,0.2,98,M,Republican,rep,1954-06-14,OH,7,Boomers
William R. Keating,0.2,93,M,Democrat,rep,1952-09-06,MA,9,Boomers
Francis Rooney,0.19,147,M,Republican,rep,1953-12-04,FL,19,Boomers
Joseph P. Kennedy III,0.18,114,M,Democrat,rep,1980-10-04,MA,4,Millennial
Kamala D. Harris,0.18,179,F,Democrat,sen,1964-10-20,CA,,Boomers
Chris Van Hollen,0.18,174,M,Democrat,sen,1959-01-10,MD,,Boomers
Jeff Merkley,0.18,103,M,Democrat,sen,1956-10-24,OR,,Boomers
"Randy K. Weber, Sr.",0.18,112,M,Republican,rep,1953-07-02,TX,14,Boomers
Peter A. DeFazio,0.18,115,M,Democrat,rep,1947-05-27,OR,4,Boomers
Marcy Kaptur,0.18,118,F,Democrat,rep,1946-06-17,OH,9,Boomers
Michael Waltz,0.17,139,M,Republican,rep,1974-01-31,FL,6,Gen X
"Eric A. ""Rick"" Crawford",0.17,108,M,Republican,rep,1966-01-22,AR,1,Gen X
Larry Bucshon,0.17,107,M,Republican,rep,1962-05-31,IN,8,Boomers
John Joyce,0.17,179,M,Republican,rep,1957-02-08,PA,13,Boomers
Jerry McNerney,0.17,151,M,Democrat,rep,1951-06-18,CA,9,Boomers
Jack Reed,0.17,126,M,Democrat,sen,1949-11-12,RI,,Boomers
Janice D. Schakowsky,0.17,84,F,Democrat,rep,1944-05-26,IL,9,Boomers
Peter T. King,0.17,182,M,Republican,rep,1944-04-05,NY,2,Boomers
Patrick J. Leahy,0.17,93,M,Democrat,sen,1940-03-31,VT,,Silent
Liz Cheney,0.16,188,F,Republican,rep,1966-07-28,WY,0,Gen X
"Robert P. Casey, Jr.",0.16,93,M,Democrat,sen,1960-04-13,PA,,Boomers
